TASK_W6KEY,TASK_NUMBER,ORDER_NUMBER
5000811,4,1811
5000812,3,1812
5000813,5,1813
5000814,3,1814
5000815,1,1815
5000816,4,1816
5000817,1,1817
5000818,4,1818
5000819,5,1819
5000820,6,1820
5000821,1,1821
5000822,17,1822
5000823,10,1823
5000824,1,1824
5000825,5,1825
5000826,2,1826
5000827,18,1827
5000828,6,1828
5000829,2,1829
5000830,7,1830
5000831,11,1831
5000832,38,1832
5000833,1,1833
5000834,3,1834
5000835,4,1835
5000836,14,1836
5000837,3,1837
5000838,15,1838
5000839,4,1839
5000840,1,1840
5000841,5,1841
5000842,6,1842
5000843,11,1843
5000844,7,1844
5000845,7,1845
5000846,1,1846
5000847,1,1847
5000848,2,1848
5000849,3,1849
5000850,1,1850
5000851,1,1851
5000852,1,1852
5000853,1,1853
5000854,1,1854
5000855,1,1855
5000856,1,1856
5000857,1,1857
5000858,2,1858
5000859,1,1859
5000860,2,1860
5000861,7,1861
5000862,2,1862
5000863,4,1863
5000864,2,1864
5000865,1,1865
5000866,3,1866
5000867,2,1867
5000868,1,1868
5000869,7,1869
5000870,1,1870
5000871,6,1871
5000872,3,1872
5000873,4,1873
5000874,3,1874
5000875,3,1875
5000876,1,1876
5000877,3,1877
5000878,4,1878
5000879,1,1879
5000880,1,1880
5000881,1,1881
5000882,2,1882
5000883,1,1883
5000884,1,1884
5000885,2,1885
5000886,2,1886
5000887,1,1887
5000888,3,1888
5000889,4,1889
5000890,4,1890
5000891,4,1891
5000892,2,1892
5000893,1,1893
5000894,5,1894
5000895,6,1895
5000896,7,1896
5000897,6,1897
5000898,5,1898
5000899,6,1899
5000900,3,1900
5000901,3,1901
5000902,4,1902
5000903,3,1903
5000904,8,1904
5000905,1,1905
5000906,2,1906
5000907,7,1907
5000908,1,1908
5000909,1,1909
5000910,8,1910
5000911,2,1911
5000912,3,1912
5000913,3,1913
5000914,6,1914
5000915,7,1915
5000916,3,1916
5000917,1,1917
5000918,2,1918
5000919,1,1919
5000920,1,1920
5000921,7,1921
5000922,1,1922
5000923,5,1923
5000924,1,1924
5000925,2,1925
5000926,70,1926
5000927,6,1927
5000928,1,1928
5000929,5,1929
5000930,1,1930
5000931,3,1931
5000932,1,1932
5000933,7,1933
5000934,2,1934
5000935,6,1935
5000936,2,1936
5000937,2,1937
5000938,1,1938
5000939,2,1939
5000940,3,1940
5000941,70,1941
5000942,2,1942
5000943,3,1943
5000944,3,1944
5000945,3,1945
5000946,1,1946
5000947,4,1947
5000948,2,1948
5000949,1,1949
5000950,5,1950
5000951,4,1951
5000952,6,1952
5000953,5,1953
5000954,1,1954
5000955,6,1955
5000956,7,1956
5000957,7,1957
5000958,8,1958
5000959,8,1959
5000960,1,1960
5000961,1,1961
5000962,1,1962
5000963,1,1963
5000964,3,1964
5000965,5,1965
5000966,1,1966
5000967,17,1967
5000968,29,1968
5000969,1,1969
5000970,1,1970
5000971,17,1971
5000972,1,1972
5000973,2,1973
5000974,3,1974
5000975,3,1975
5000976,3,1976
5000977,2,1977
5000978,29,1978
5000979,8,1979
5000980,1,1980
5000981,2,1981
5000982,1,1982
5000983,2,1983
5000984,1,1984
5000985,3,1985
5000986,2,1986
5000987,4,1987
5000988,5,1988
5000989,4,1989
5000990,1,1990
